comment;violence;directed_vs_generalized;gender;race;national_origin;disability;religion;sexual_orientation,,,,,,,,,,
Well I thinks it ok to turn female to male because they then can be used in the military and be stronger but male to female shall be banned so I guess a form of trans is ok because it's better for the state;0;0;0.285714286;0;0;0;0;0.857142857,,,,,,,,,,
Two things are apparent: one, not a male and two, your ass is indeed sorry that it's been turned into a drive-in.;0;0.5;0.5;0;0;0;0;0.5,,,,,,,,
this man is an inspiration. Has killed 900 people raped 250 women. I want to be like him. He is not scared of death. Not scared of anything.;1;0.333333333;0.666666667;0;0;0;0;0.333333333,,,,,,,,,,
this is why indian subs should only count 0,5;0;0;0;1;0;0;0;0,,,,,,,,,
They have the right to get there ass kicked all the way back across the border;0.5;0.5;0;0;1;0;0;0,,,,,,,,,,
They are laughing and their countries are poor evil murderes and all corrupted good job.;0;0.5;0;0;1;0;0;0,,,,,,,,,,
These dogs lie through their teeth so that they can come here and set up jihad on the infidels.;0.333333333;0.666666667;0;0;0.285714286;0;0.857142857;0,,,,,,,,,,
There was a protest today in Birmingham against hate. It was so great to see Muslims and Gays marching together in unity.;0;0;0;0;0;0;0.285714286;0.857142857,,,,,,,,,,
The worst nightmare for people of Paris, Europe and World in general. Devastated by this monstrous act. I hope death to the fucking culprits. Die to hell;1;0.333333333;0;0;0.666666667;0;0.333333333;0,,,,,,,,,
The world before white people. 1 word 8 letters. PEACEFUL;0;0;0;1;0;0;0;0,,,,,,,,,,
The Problem with Islam is that they think they have the right to tell other Human beings what to do or how to be a good Person. What is right and what is wrong. If for example 2 Men love each other, they hurt nobody but you think your God told you to stop them. Who are you to interfere in other ppls Life? Non of your Business! If you think they will Burn for that, then let it be at that. But no, you think you have to stop them bc your God told you. Thats the thing!;0;0;0;0;0.333333333;0;0.666666667;0,,,,,,,
The older Hispanic woman shouldn't have been on this episode. Her view on everything was so shallow and 'ass-kissy'. The story about her brother in law being killed by an illegal alien Im truly sorry for their lost and I hate to sound insensitive but ANYBODY could've killed him. INCLUDING A LEGAL CITIZEN OF THE UNITED STATES THEYRE ARE TWISTED PEOPLE EVERYWHERE don't pull the illegal alien card on violence bc that's an everyday part of life in the US with or WITHOUT people coming here illegally;0.333333333;0.333333333;0.666666;0.666666;0.666666;0;0;0,,,,,,,,,,
The male gene is stronger, as it should be of course. Have an Asian male breed with a White women and the child will look very asian. Reverse it and the child will look mush more whiter;0;0;1;0;0;0;0;0,,,,,,,,,
the fat bitches are annoying as hell;0.333333333;0;1;0;0;0;0;0,,,,,,,,,,
The best we thing we can do is Sterilize these women and try to save the children.;0.666666667;0.666666667;1;0;0;0;0;0,,,,,,,,,,
That whore has better eyelashes than any other women;0;1;0.666666667;0;0;0;0;0.333333333,,,,,,,,,,
that punch turned that immigrants jaw direction to nigeria;0.333333333;0;0;0;1;0;0;0,,,,,,,,,,
Syria has a religion problem.;0;0;0;0;0.333333333;0;0.666666667;0,,,,,,,,,,
Slow death to people like you;1;0.666666667;0.571428571;0.571428571;0;0;0;0,,,,,,,,,,
seriously, any arab or turks i've ever met had something to do with crime, either he or someone of his family.;0;0;0;0;1;0;0;0,,,,,,,,
Put a woman to abuse that fat woman and don’t put a kind guy;0.666666667;0.666666667;0.666666667;0;0;0;0;0.333333333,,,,,,,,,,
Perfect place for Lana- China and Myanmar. No trouble there. They know how to handle those pigs.;0;0.333333333;0;0;1;0;0;0,,,,,,,,,,
Pale cancer! Back to your west pacific ocean;0.333333333;0.666666667;0;0.666666667;0.333333333;0;0;0,,,,,,,,,,
ONLY LEGAL IMMIGRANTS... Like the hero officer Singh murdered in the line of duty.    NO TO ILLEGAL ALIENS THEY DO NOT BELONG HERE. Deport today;0.333333333;0;0;0.333333333;0.666666667;0;0;0,,,,,,,,,,
"On todays episode of ""Guess That Gender"";0;1;0.666666667;0;0;0;0;0.333333333",,,,,,,,,,
Oh GOD YES!!!! Feel the shrapnel pierce through your skin, let the fire consume your flesh and lay lifeless on the unforgiving sand that seeps into your wounds. Your screams is what gives Murcia the fuck yeah in the most patriotic songs on earth. BURN IN HELL YOU GOATS !!!;0.666666667;0.666666667;0.666666667;0;0.333333333;0;0;0,,,,,,,,,
Most Americans are nazis or kkk members so they elected  Trump.;0;0;0;0;1;0;0;0,,,,,,,,,,
Magnificient. Contrary to what the media reports, I have hope for the people of Europe to expel these leeches.;0.333333333;0;0.333333333;0;0.666666667;0;0;0,,,,,,,,,
LMAO while watching this church burn;0.666666667;0;0;0;0;0;1;0,,,,,,,,,,
Killing me to see gays treated like that. I think lesbians are being more privileged by people;0;0;0;0;0;0;0;1,,,,,,,,,,
Just a little work on the eyebrows and you could be a waitress by day and an annoying freeloader at some dudes house at night.;0;1;0.666666667;0.333333333;0;0;0;0,,,,,,,,,,
It's so sick and sad that young people will think of the concept of clout like rap niggers invented it because they aren't even properly taught about the english language anymore.;0;0;0;1;0;0;0;0,,,,,,,,,,
Is that your nose or is that Thor's Hammer?;0;1;0.333333333;0;0;0.666666667;0;0,,,,,,,,,,
In my dream I wished you have died! Don't call yourself man, while talking like queen.;0.666666667;1;0.333333333;0;0;0;0;0.666666667,,,,,,,,,
Ill vote for you if you forbid people that cannot hear to have driver licences. They are clearly threads;0.333333333;0;0;0;0;1;0;0,,,,,,,,,,
If only there was a way to get children without having to get women pregnant we had them all ready killed;1;0;1;0;0;0;0;0,,,,,,,,,,
Idiots as always. Religion is the most stupid thing you humans invented.;0;0;0;0;0;0;1;0,,,,,,,,,,
I would beat the shit out of every Russian;0.666666667;0;0;0;1;0;0;0,,,,,,,,,,
I notice that the LGBT cancer is starting to slowly affect SA countries like Japan.;0.333333333;0;0;0;0;0;0;1,,,,,,,,,,
I hate being a man, wish I was a lady and no man on earth existed;0;0;1;0;0;0;0;0,,,,,,,,,
I guess God is white.... ;0;0.666666667;0;0.857142857;0;0;0.285714286;0,,,,,,,,,,
I didn't know future gay gym teachers had to take AIDS tests.;0;0.666666667;0;0;0;0.285714286;0;0.857142857,,,,,,,,,,
I can' stand feminist. I like men being manly and I like being treated like a lady. Dear men, if a woman asks for your help, ask if they are feminist. If they say yes, then remind them they can do everything without men and don' help them.;0;0;1;0;0;0;0;0,,,,,,,
Humans with third leg I hope to distinct soon, with much love;0.666666667;0;1;0;0;0;0;0,,,,,,,,,
How is it to have a kid acting like a sloth or like a pug dog? Isn’t it hard? In your place I’d put it in a dedicated institute for problematics and pay a visit each year at max;0;0.666666667;0;0;0;1;0;0,,,,,,,,,,
How can Europe allow millions of rapists animals to go there ?;0;0;0;0.333333333;0.666666667;0;0;0,,,,,,,,,,
How can anyone be converted forcebly? What profits Christianity. May be Hindu groups are jealous of Christians up coming. They want Christians to be Hindu goons. Who is that tied saffron on forehead. Is he gaurdian of Hinduism like Shankar Acharya or Vivekananda?;0;0;0.333333333;0;0;0;0.666666667;0,,,,,,,,,,
HOPE THEY KNOCK HER ASS TO THE GROUND AND RIP HER DRESS OFF AND SHAME HER....NOW THATS A POWERFUL IMAGE.;1;0.333333333;1;0;0;0;0;0,,,,,,,,,,
Hello I'm calling from tech support *with Indian accent*;0;0.333333333;0;0.333333333;0.666666667;0;0;0,,,,,,,,,,
Go bleach yourself black pussy doll and then come talk to me;0.666666667;0.333333333;0;1;0;0;0;0,,,,,,,,,,
Generally speaking, most women are lazy and worthless not all, but most.;0;0;1;0;0;0;0;0,,,,,,,,
fucking slut deserved it;0;1;1;0;0;0;0;0,,,,,,,,,,
Fuck a freaking church brought together people. Well that’s power no matter fact;0;0.333333333;0;0;0;0;1;0,,,,,,,,,,
France let them refugees in and this what happened fucking animals;0;0;0;0.333333333;0.666666667;0;0;0,,,,,,,,,,
"Every female-dominated job: low skill, minimal education required, not much physical exertion, indoors, tightly controlled hours.;0;0;1;0;0;0;0;0",,,,,,,,,,
Easter is the most silly holiday ever existed. It must be stopped. Shame shame shame;0.333333333;0;0;0;0;0;1;0,,,,,,,,,,
Do the world a favor and pour some bleach into that glass;1;1;0.666666667;0;0.333333333;0;0;0,,,,,,,,,,
Disgusting sick queer kill yourself;0.666666667;0.666666667;0;0;0;0.666666667;0;0.333333333,,,,,,,,,,
Disability centres all around the world. That’s were our money goes. Let’s take em down;0.666666667;0;0;0;0;1;0;0,,,,,,,,,,
Come and kill my wife;1;1;1;0;0;0;0;0,,,,,,,,,,
Catholicism is the beast that comes out of daniels dream interpretation.;0;0;0;0;0;0;1;0,,,,,,,,,,
By calling period, a natural procedure, as an excuse it degrades their gender. I suppose I agree with that though they are degraded anyways;0;0;1;0;0;0;0;0,,,,,,,,
Believe me, whites are superior in every way to nips and Western countries are prosperous specifically because of those racial differences.;0;0;0;1;0;0;0;0,,,,,,,,,
Anti-LGBT people ,How sad and ignorant...I cant believe it..How how ??? can they not see how STUPID they are?????;0;0.333333333;0.333333333;0;0;0;0;0.666666667,,,,,,,,,
All people are fucked up because of these queer thing because y'all realize how shitty gender roles are and how absurd is to see it in reverse genders roles;0;0;0.571428571;0;0;0;0;0.571428571,,,,,,,,,,
Actually THIS WEIRD PEOPLE are HARMFUL! They need medications. His mother should have know he is like this and to not deny it;0;1;0;0;0.333333333;0.666666667;0;0,,,,,,,,,,
ABU DA BI ABA DU BA BA HAMUD! See? I’m an arab priest too. This is how they sound. right? They are jokes;0;0;0;0.285714286;0;0;0.857142857;0,,,,,,,,,,
a homo? so you fuck your brother instead of your sister?;0;0.666666667;0;0;0;0;0;1,,,,,,,,,,
(((They))) will be chased out of every white country and hunted down like the animals they are for their evil schemes and plots;0.333333333;0;0;0.666666667;0;0;0.333333333;0,,,,,,,,,,
